sequence,method,seed,criterion,chi_max,param_count,runtime_cumulative,final_infidelity,final_max_obs_error
commuting,hybrid_tdvp,11,infidelity_1e-2,16,2728,0.4612971509923227,0.001590787313994646,0.001415838774191193
commuting,hybrid_tdvp,11,infidelity_1e-3,32,6824,1.2858051859075204,1.5764278771257523e-11,6.244486280143624e-08
commuting,hybrid_tdvp,11,max_obs_1e-2,16,2728,0.4612971509923227,0.001590787313994646,0.001415838774191193
commuting,hybrid_tdvp,11,max_obs_1e-3,32,6824,1.2858051859075204,1.5764278771257523e-11,6.244486280143624e-08
commuting,hybrid_tdvp,22,infidelity_1e-2,16,2728,0.46987890475429595,0.007048914058339406,0.011713478110733401
commuting,hybrid_tdvp,22,infidelity_1e-3,32,6824,1.25047469092533,9.557998836839943e-11,1.2990169051541045e-07
commuting,hybrid_tdvp,22,max_obs_1e-2,32,6824,1.25047469092533,9.557998836839943e-11,1.2990169051541045e-07
commuting,hybrid_tdvp,22,max_obs_1e-3,32,6824,1.25047469092533,9.557998836839943e-11,1.2990169051541045e-07
commuting,hybrid_tdvp,33,infidelity_1e-2,16,2728,0.470221980009228,0.005916016197425322,0.009764329398740501
commuting,hybrid_tdvp,33,infidelity_1e-3,32,6824,1.2553746413905174,1.1968426250064113e-10,3.6865992431717176e-07
commuting,hybrid_tdvp,33,max_obs_1e-2,16,2728,0.470221980009228,0.005916016197425322,0.009764329398740501
commuting,hybrid_tdvp,33,max_obs_1e-3,32,6824,1.2553746413905174,1.1968426250064113e-10,3.6865992431717176e-07
commuting,tebd_swap,11,infidelity_1e-2,64,6824,0.155826403060928,0.0,4.7175485073935874e-08
commuting,tebd_swap,11,infidelity_1e-3,64,6824,0.155826403060928,0.0,4.7175485073935874e-08
commuting,tebd_swap,11,max_obs_1e-2,64,6824,0.155826403060928,0.0,4.7175485073935874e-08
commuting,tebd_swap,11,max_obs_1e-3,64,6824,0.155826403060928,0.0,4.7175485073935874e-08
commuting,tebd_swap,22,infidelity_1e-2,32,6824,0.15202189388219267,0.009344771696403464,0.027056629591687698
commuting,tebd_swap,22,infidelity_1e-3,64,6824,0.15110289078438655,0.0,1.5575220113639432e-08
commuting,tebd_swap,22,max_obs_1e-2,64,6824,0.15110289078438655,0.0,1.5575220113639432e-08
commuting,tebd_swap,22,max_obs_1e-3,64,6824,0.15110289078438655,0.0,1.5575220113639432e-08
commuting,tebd_swap,33,infidelity_1e-2,32,6824,0.15683149313554168,0.0,0.0036888569613942046
commuting,tebd_swap,33,infidelity_1e-3,32,6824,0.15683149313554168,0.0,0.0036888569613942046
commuting,tebd_swap,33,max_obs_1e-2,32,6824,0.15683149313554168,0.0,0.0036888569613942046
commuting,tebd_swap,33,max_obs_1e-3,64,6824,0.1527698632562533,7.841696403332321e-09,1.3995392580956612e-08
commuting,mpo_zipup,11,infidelity_1e-2,32,8104,0.19641332695027813,0.0,1.2567724638756772e-13
commuting,mpo_zipup,11,infidelity_1e-3,32,8104,0.19641332695027813,0.0,1.2567724638756772e-13
commuting,mpo_zipup,11,max_obs_1e-2,32,8104,0.19641332695027813,0.0,1.2567724638756772e-13
commuting,mpo_zipup,11,max_obs_1e-3,32,8104,0.19641332695027813,0.0,1.2567724638756772e-13
commuting,mpo_zipup,22,infidelity_1e-2,32,8104,0.1938466759165749,0.0,3.863576125695545e-14
commuting,mpo_zipup,22,infidelity_1e-3,32,8104,0.1938466759165749,0.0,3.863576125695545e-14
commuting,mpo_zipup,22,max_obs_1e-2,32,8104,0.1938466759165749,0.0,3.863576125695545e-14
commuting,mpo_zipup,22,max_obs_1e-3,32,8104,0.1938466759165749,0.0,3.863576125695545e-14
commuting,mpo_zipup,33,infidelity_1e-2,32,8104,0.1952649249578826,0.0,4.463096558993129e-14
commuting,mpo_zipup,33,infidelity_1e-3,32,8104,0.1952649249578826,0.0,4.463096558993129e-14
commuting,mpo_zipup,33,max_obs_1e-2,32,8104,0.1952649249578826,0.0,4.463096558993129e-14
commuting,mpo_zipup,33,max_obs_1e-3,32,8104,0.1952649249578826,0.0,4.463096558993129e-14
commuting,variational_mpo,11,infidelity_1e-2,32,8104,39.101609811070375,0.0,1.2567724638756772e-13
commuting,variational_mpo,11,infidelity_1e-3,32,8104,39.101609811070375,0.0,1.2567724638756772e-13
commuting,variational_mpo,11,max_obs_1e-2,32,8104,39.101609811070375,0.0,1.2567724638756772e-13
commuting,variational_mpo,11,max_obs_1e-3,32,8104,39.101609811070375,0.0,1.2567724638756772e-13
commuting,variational_mpo,22,infidelity_1e-2,32,8104,39.59104959986871,0.0,3.863576125695545e-14
