experiment,method,gate_type,theta,q0,q1,chi_max,tdvp_substeps,sequence,gate_count,infidelity_median,infidelity_min,infidelity_max,n_seeds
A,hybrid_tdvp,rxx,0.0125,2,9,16,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.0125,2,9,32,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.0125,2,9,64,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.0125,2,9,8,1,,1,2.997923230674271e-05,2.997923230674271e-05,2.997923230674271e-05,1
A,hybrid_tdvp,rxx,0.025,2,9,16,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.025,2,9,32,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.025,2,9,64,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.025,2,9,8,1,,1,0.00011997918626527326,0.00011997918626527326,0.00011997918626527326,1
A,hybrid_tdvp,rxx,0.05,2,9,16,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.05,2,9,32,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.05,2,9,64,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.05,2,9,8,1,,1,0.0004803140808191664,0.0004803140808191664,0.0004803140808191664,1
A,hybrid_tdvp,rxx,0.1,2,9,16,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.1,2,9,32,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.1,2,9,64,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.1,2,9,8,1,,1,0.0019228465960948737,0.0019228465960948737,0.0019228465960948737,1
A,hybrid_tdvp,rxx,0.2,2,9,16,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.2,2,9,32,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.2,2,9,64,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,rxx,0.2,2,9,8,1,,1,0.007678831374612782,0.007678831374612782,0.007678831374612782,1
A,hybrid_tdvp,ryy,0.0125,2,9,16,1,,1,6.8833827526759706e-15,6.8833827526759706e-15,6.8833827526759706e-15,1
A,hybrid_tdvp,ryy,0.0125,2,9,32,1,,1,6.8833827526759706e-15,6.8833827526759706e-15,6.8833827526759706e-15,1
A,hybrid_tdvp,ryy,0.0125,2,9,64,1,,1,6.8833827526759706e-15,6.8833827526759706e-15,6.8833827526759706e-15,1
A,hybrid_tdvp,ryy,0.0125,2,9,8,1,,1,2.7653796351501114e-05,2.7653796351501114e-05,2.7653796351501114e-05,1
A,hybrid_tdvp,ryy,0.025,2,9,16,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.025,2,9,32,1,,1,0.0,0.0,0.0,1
A,hybrid_tdvp,ryy,0.025,2,9,64,1,,1,0.0,0.0,0.0,1
