task_id,experiment,method,seed,gate_type,theta,q0,q1,separation,chi_max,tdvp_substeps,gate_index,gate_count,sequence,fidelity,raw_overlap,infidelity,vec_error,norm_before,norm_after,max_obs_error,rms_obs_error,runtime_s,max_bond,bond_profile,param_count,discarded_weight_gate,discarded_weight_cumulative,lanczos_tol
4d80b2dff1d8259e4ceebc2915dc49e6944b4c88e1a8bac402929a348e9d655f,A,exact,11,rxx,0.0125,2,9,7,,,1,1,,0.9999999999999973,0.9999999999999973,2.6645352591003757e-15,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
2db4a7978313b1152f4a8ded6daddb65597e7c1dc7ad9f6c6c9f98d51bbeb21c,A,exact,11,rxx,0.025,2,9,7,,,1,1,,0.9999999999999987,0.9999999999999987,1.3322676295501878e-15,0.0,0.9999999999999996,0.9999999999999992,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
6377c41ab8b7f866a3b8199215eaba4abc779f46e8c6efa579fb4184b66cf229,A,exact,11,rxx,0.05,2,9,7,,,1,1,,0.999999999999998,0.999999999999998,1.9984014443252818e-15,0.0,0.9999999999999996,0.9999999999999997,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
66936168b66c1194a7cc1591f9bed9690c66d041e9043cc6bd074281be3cdaf1,A,exact,11,rxx,0.1,2,9,7,,,1,1,,0.9999999999999987,0.9999999999999987,1.3322676295501878e-15,0.0,0.9999999999999996,0.9999999999999997,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
aa4f71f04a573703df1018c3a92afce5824e0dd37069ccdf46e2554ba3301349,A,exact,11,rxx,0.2,2,9,7,,,1,1,,0.9999999999999982,0.9999999999999982,1.7763568394002505e-15,0.0,0.9999999999999996,1.0,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
502d2fcc891da8d69e8e449ba93d177f5462e2aba65817a1fe5592e78c82dc4b,A,exact,11,ryy,0.0125,2,9,7,,,1,1,,0.999999999999998,0.999999999999998,1.9984014443252818e-15,0.0,0.9999999999999996,0.9999999999999993,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
b012ea935982438c210513b8a0d653a912f19ec90fa30f8501bd6bd6218619f5,A,exact,11,ryy,0.025,2,9,7,,,1,1,,0.9999999999999987,0.9999999999999987,1.3322676295501878e-15,0.0,0.9999999999999996,0.9999999999999991,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
3179d941bee9c3db5d641b2b5aa2092fe63caa366f4d20f599a820c93fcda933,A,exact,11,ryy,0.05,2,9,7,,,1,1,,0.9999999999999978,0.9999999999999978,2.220446049250313e-15,0.0,0.9999999999999996,0.9999999999999997,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
38c7c0659963d025396d3cb4d22490015f869e4dbdb41cf40e682358539b7344,A,exact,11,ryy,0.1,2,9,7,,,1,1,,0.9999999999999984,0.9999999999999984,1.5543122344752192e-15,0.0,0.9999999999999996,0.9999999999999998,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
05a63aff705b8ad13207f9b36ef5a8326178bd12e9c4ab000c98dc94186b6f18,A,exact,11,ryy,0.2,2,9,7,,,1,1,,0.9999999999999987,0.9999999999999987,1.3322676295501878e-15,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
891e0c896655251f20f8fda85b33ae6134f03beabdc9ac8d0ade815a577a5b44,A,exact,11,rzz,0.0125,2,9,7,,,1,1,,0.9999999999999978,0.9999999999999978,2.220446049250313e-15,0.0,0.9999999999999996,0.9999999999999993,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
d14a7ab3b5f942e7984c5064fc0846d956aeb57b5cf7e902457dcf093a14f1cb,A,exact,11,rzz,0.025,2,9,7,,,1,1,,0.9999999999999987,0.9999999999999987,1.3322676295501878e-15,0.0,0.9999999999999996,0.9999999999999993,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
b1ff6053d1627cfba176eae50e4e55c17bcda903afe943d10b9eca806e41bb97,A,exact,11,rzz,0.05,2,9,7,,,1,1,,0.999999999999998,0.999999999999998,1.9984014443252818e-15,0.0,0.9999999999999996,0.9999999999999994,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
10878d2eb70c0636d1f0101402f992469a65db2ae058a38426df97b7944a87e1,A,exact,11,rzz,0.1,2,9,7,,,1,1,,0.9999999999999982,0.9999999999999982,1.7763568394002505e-15,0.0,0.9999999999999996,0.9999999999999994,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
8d66802dc231a93b23c1fc1020a4118fcf8e19594671401f9b3f2e408cc05426,A,exact,11,rzz,0.2,2,9,7,,,1,1,,0.9999999999999984,0.9999999999999984,1.5543122344752192e-15,0.0,0.9999999999999996,0.9999999999999991,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
459e354f809dbd741b879723dd601026b4393b91a4a5c056707fbadca2804961,A,exact,22,rxx,0.0125,2,9,7,,,1,1,,1.0000000000000062,1.0000000000000062,0.0,0.0,1.0000000000000016,1.0000000000000016,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
8d0148f4fee8be77ced05a190f453b3931e8d2c2d7ecad7a709163259714dfca,A,exact,22,rxx,0.025,2,9,7,,,1,1,,1.0000000000000062,1.0000000000000062,0.0,0.0,1.0000000000000016,1.0000000000000016,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
bb9fa8498efe90460f59dbf0eff20ab481aace679cb2c339a17b44cbe3f11cc0,A,exact,22,rxx,0.05,2,9,7,,,1,1,,1.0000000000000067,1.0000000000000067,0.0,0.0,1.0000000000000016,1.0000000000000013,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
b37daee0adc1d3e327825b19362f972be0263efa1fb6430d75fa2a2685f7ba6c,A,exact,22,rxx,0.1,2,9,7,,,1,1,,1.0000000000000062,1.0000000000000062,0.0,0.0,1.0000000000000016,1.000000000000001,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
9c12dce563e1e2fe7488ff6985675f2614e46f5410b83be6421860724e2e1721,A,exact,22,rxx,0.2,2,9,7,,,1,1,,1.0000000000000062,1.0000000000000062,0.0,0.0,1.0000000000000016,1.0000000000000016,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
7b42c411322f8772d4eee87e33490dbba855ac0328bcbea4d4c064b9dd46846a,A,exact,22,ryy,0.0125,2,9,7,,,1,1,,1.0000000000000058,1.0000000000000058,0.0,0.0,1.0000000000000016,1.0000000000000013,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
ce8eb1b9a1d74794e63e28b191782f9eff7da47da67d1c3dc7c7c8df5062025c,A,exact,22,ryy,0.025,2,9,7,,,1,1,,1.0000000000000062,1.0000000000000062,0.0,0.0,1.0000000000000016,1.0000000000000018,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
80e2965012594cccb3aad57a30cf643e28a39f111709f590dab78f95d9acca91,A,exact,22,ryy,0.05,2,9,7,,,1,1,,1.0000000000000067,1.0000000000000067,0.0,0.0,1.0000000000000016,1.0000000000000013,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
2b125d2563789744b38c5b5a0db96f5991b0b299470ed29a1001aedd2804e0eb,A,exact,22,ryy,0.1,2,9,7,,,1,1,,1.0000000000000062,1.0000000000000062,0.0,0.0,1.0000000000000016,1.0000000000000013,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
2e589f4609c18c926c02886a92dbfdfd7d57ce68f277fe3e28ae4650e4d2d00d,A,exact,22,ryy,0.2,2,9,7,,,1,1,,1.0000000000000062,1.0000000000000062,0.0,0.0,1.0000000000000016,1.0000000000000013,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
2895a26a68a6d3548c8070b44c1b9cdc764e13a5109ae92346e203bf3b47781d,A,exact,22,rzz,0.0125,2,9,7,,,1,1,,1.0000000000000062,1.0000000000000062,0.0,0.0,1.0000000000000016,1.0000000000000016,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
252da7f04082a1b61b9eae2e2f9f5e01e105ded63ed387355e0debb30ee6f746,A,exact,22,rzz,0.025,2,9,7,,,1,1,,1.0000000000000067,1.0000000000000067,0.0,0.0,1.0000000000000016,1.0000000000000016,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
28fcd0c0af3fd4c3075c1231fe6f756fc502b829fa6857eb7fe80e6abf700fa9,A,exact,22,rzz,0.05,2,9,7,,,1,1,,1.000000000000007,1.000000000000007,0.0,0.0,1.0000000000000016,1.0000000000000016,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
874a21ef1d458ed0f9bf7e3a4b9678b619897ed62e092fba3f8eb10779358449,A,exact,22,rzz,0.1,2,9,7,,,1,1,,1.0000000000000062,1.0000000000000062,0.0,0.0,1.0000000000000016,1.000000000000002,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
e56f115f5e86283207568d23e11a77b0ec70af9c1252977a8df447aa4b18b35a,A,exact,22,rzz,0.2,2,9,7,,,1,1,,1.000000000000007,1.000000000000007,0.0,0.0,1.0000000000000016,1.0000000000000022,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
5f128c8b5bd67044b6d25a0d2aeee18ca2f76dff3d7e6f8015aed9665f46bcbd,A,exact,33,rxx,0.0125,2,9,7,,,1,1,,0.999999999999998,0.999999999999998,1.9984014443252818e-15,0.0,0.9999999999999998,1.0000000000000002,0.0,0.0,0.0,8,"[1, 2, 4, 8, 8, 8, 8, 8, 8, 8, 4, 2, 1]",936,0.0,0.0,1e-12
