experiment,method,gate_type,theta,q0,q1,chi_max,tdvp_substeps,sequence,gate_count,infidelity_median,infidelity_min,infidelity_max,n_seeds
A,hybrid_tdvp,rxx,0.025,2,9,16,1,,1,1.1735923344247112e-10,1.1735923344247112e-10,1.1735923344247112e-10,1
A,hybrid_tdvp,rxx,0.025,2,9,16,2,,1,2.931499487601741e-11,2.931499487601741e-11,2.931499487601741e-11,1
A,hybrid_tdvp,rxx,0.025,2,9,16,4,,1,7.319256312143807e-12,7.319256312143807e-12,7.319256312143807e-12,1
A,hybrid_tdvp,rxx,0.025,2,9,16,8,,1,1.822098028014807e-12,1.822098028014807e-12,1.822098028014807e-12,1
A,hybrid_tdvp,rxx,0.025,2,9,64,1,,1,1.1735923344247112e-10,1.1735923344247112e-10,1.1735923344247112e-10,1
A,hybrid_tdvp,rxx,0.025,2,9,64,2,,1,2.931499487601741e-11,2.931499487601741e-11,2.931499487601741e-11,1
A,hybrid_tdvp,rxx,0.025,2,9,64,4,,1,7.319256312143807e-12,7.319256312143807e-12,7.319256312143807e-12,1
A,hybrid_tdvp,rxx,0.025,2,9,64,8,,1,1.822098028014807e-12,1.822098028014807e-12,1.822098028014807e-12,1
A,hybrid_tdvp,rxx,0.025,2,9,8,1,,1,6.885800506839512e-05,6.885800506839512e-05,6.885800506839512e-05,1
A,hybrid_tdvp,rxx,0.025,2,9,8,2,,1,6.886946999318244e-05,6.886946999318244e-05,6.886946999318244e-05,1
A,hybrid_tdvp,rxx,0.025,2,9,8,4,,1,6.887646853814822e-05,6.887646853814822e-05,6.887646853814822e-05,1
A,hybrid_tdvp,rxx,0.025,2,9,8,8,,1,6.888026558327098e-05,6.888026558327098e-05,6.888026558327098e-05,1
A,hybrid_tdvp,rxx,0.05,2,9,16,1,,1,4.699116651352142e-10,4.699116651352142e-10,4.699116651352142e-10,1
A,hybrid_tdvp,rxx,0.05,2,9,16,2,,1,1.173510177920889e-10,1.173510177920889e-10,1.173510177920889e-10,1
