sequence,gate_count,layer,position_in_layer,gate_type,theta,q0,q1,exact_norm,tdvp_norm,tebd_norm,mpo_norm,infidelity_exact_tdvp,infidelity_exact_tebd,infidelity_exact_mpo,infidelity_tdvp_tebd,infidelity_tdvp_mpo,infidelity_tebd_mpo,exact_state_hash,gate_matrix_hash
commuting,1,1,1,rzz,0.05,2,9,0.9999999999999994,1.000000000000003,0.9999999999999997,1.0000000000000016,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.0,3c457ffc32fc19656cc7ad0dfe6f8e838263959f696b975dceb4b9230f26743a,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,2,1,2,rzz,0.05,2,8,0.9999999999999993,1.0000000000000016,1.0000000000000009,1.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,f7396ef865989b244ebc869bd4345f1f409fdc83135aeb6fa3784fd30c6d0d1c,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,3,1,3,rzz,0.05,3,9,0.9999999999999992,0.9999999999998856,1.0000000000000022,1.0000000000000056,9.418243962500128e-12,0.0,0.0,9.411582624352377e-12,9.406031509229251e-12,0.0,5eb337eb861488efaefe9f7b59494f20c751ebd53fec61b68581a92cedfaf709,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
commuting,4,2,1,rzz,0.05,2,9,0.9999999999999993,0.9999999999998819,1.0000000000000022,1.0000000000000067,9.426681657487279e-12,0.0,0.0,9.421130542364153e-12,9.412026713562227e-12,0.0,451ae11dbefcfb275da088fbb5d8281cd4e675d2f882ce2499881bb02631a5e8,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,5,2,2,rzz,0.05,2,8,0.9999999999999997,0.9999999999998039,1.0000000000000087,1.0000000000000067,1.0545120332494662e-11,0.0,0.0,1.0526690630285884e-11,1.0531131522384385e-11,0.0,1798180cf5339acbf6deba706fb94997868b7febe34bae0c8a5c05c923ba10d4,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,6,2,3,rzz,0.05,3,9,0.9999999999999993,0.9999999999996559,1.0000000000000364,1.0000000000000084,1.2607914712248203e-11,0.0,0.0,1.2535084081832792e-11,1.2590373188459125e-11,0.0,dba9dafb011d696433b0f446853bec0f4d9373854c19d634810bf3be41681c83,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
commuting,7,3,1,rzz,0.05,2,9,0.9999999999999996,0.9999999999996584,1.0000000000000446,1.0000000000000104,1.2599921106470902e-11,0.0,0.0,1.2509993041476264e-11,1.2579048913607949e-11,0.0,9260a9730ef8c6ca0bd2d3cff891879ae47829c39ecdb68f85bc32c65f119b08,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,8,3,2,rzz,0.05,2,8,0.9999999999999996,0.9999999999995107,1.0000000000025184,1.000000000000009,1.582423081458728e-11,0.0,0.0,1.0786926907258021e-11,1.5806245201588354e-11,0.0,11eda851bc0c4310e6e473528e35c495001f40a49838549691bd95365caa1c80,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,9,3,3,rzz,0.05,3,9,0.9999999999999999,0.9999999999995092,1.0000000000009335,1.0000000000000104,1.5828005572871007e-11,0.0,0.0,1.3960610445451493e-11,1.580691133540313e-11,0.0,9c3ef04b3384fa00fea7d087300ba0a7bc014601f0c394dec080b7c150873760,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
commuting,10,4,1,rzz,0.05,2,9,0.9999999999999999,0.9999999999995115,1.0000000000002933,1.0000000000000098,1.5823564680772506e-11,0.0,0.0,1.5235812611535948e-11,1.5804246800144028e-11,0.0,08a3d9bc7ebe71183d56f92919aaba53159412a4d2da13bb9826c5c056e0dddd,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
