experiment,method,gate_type,theta,q0,q1,chi_max,tdvp_substeps,sequence,gate_count,infidelity_median,infidelity_min,infidelity_max,n_seeds
single_gate_angle_v4,hybrid_tdvp,rxx,0.0,2,9,8,1,,1,0.0,0.0,0.0,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.0006283185307179586,2,9,8,1,,1,8.112446170382981e-08,8.112446170382981e-08,8.112446170382981e-08,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.0009222454792211941,2,9,8,1,,1,1.7477962377387968e-07,1.7477962377387968e-07,1.7477962377387968e-07,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.0013536712389686342,2,9,8,1,,1,3.765584702941638e-07,3.765584702941638e-07,3.765584702941638e-07,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.0019869176531592202,2,9,8,1,,1,8.112932361470371e-07,8.112932361470371e-07,8.112932361470371e-07,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.0029163962761324636,2,9,8,1,,1,1.7479492138150476e-06,1.7479492138150476e-06,1.7479492138150476e-06,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.0042806843182029595,2,9,8,1,,1,3.7660641771797287e-06,3.7660641771797287e-06,3.7660641771797287e-06,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.006283185307179587,2,9,8,1,,1,8.114428830197085e-06,8.114428830197085e-06,8.114428830197085e-06,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.009222454792211942,2,9,8,1,,1,1.6316588151488176e-05,1.6316588151488176e-05,1.6316588151488176e-05,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.013536712389686328,2,9,8,1,,1,3.515982862212219e-05,3.515982862212219e-05,3.515982862212219e-05,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.019869176531592203,2,9,8,1,,1,7.576991878166517e-05,7.576991878166517e-05,7.576991878166517e-05,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.029163962761324633,2,9,8,1,,1,0.00016330040184497907,0.00016330040184497907,0.00016330040184497907,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.0428068431820296,2,9,8,1,,1,0.0003519821989299565,0.0003519821989299565,0.0003519821989299565,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.06283185307179587,2,9,8,1,,1,0.0007587220685115748,0.0007587220685115748,0.0007587220685115748,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.09222454792211941,2,9,8,1,,1,0.0016353586942867704,0.0016353586942867704,0.0016353586942867704,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.13536712389686328,2,9,8,1,,1,0.003523212487577254,0.003523212487577254,0.003523212487577254,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.198691765315922,2,9,8,1,,1,0.007579083113867902,0.007579083113867902,0.007579083113867902,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.29163962761324635,2,9,8,1,,1,0.0162374343801992,0.0162374343801992,0.0162374343801992,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.42806843182029597,2,9,8,1,,1,0.03439204428248532,0.03439204428248532,0.03439204428248532,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.6283185307179586,2,9,8,1,,1,0.07010424398176351,0.07010424398176351,0.07010424398176351,1
single_gate_angle_v4,hybrid_tdvp,rxx,0.9222454792211943,2,9,8,1,,1,0.12057088383635584,0.12057088383635584,0.12057088383635584,1
single_gate_angle_v4,hybrid_tdvp,rxx,1.353671238968633,2,9,8,1,,1,0.16788889670369078,0.16788889670369078,0.16788889670369078,1
single_gate_angle_v4,hybrid_tdvp,rxx,1.5707963267948966,2,9,8,1,,1,0.19272687727793747,0.19272687727793747,0.19272687727793747,1
single_gate_angle_v4,hybrid_tdvp,rxx,1.9869176531592203,2,9,8,1,,1,0.2334787237103575,0.2334787237103575,0.2334787237103575,1
single_gate_angle_v4,hybrid_tdvp,rxx,2.9163962761324638,2,9,8,1,,1,0.2805060429623901,0.2805060429623901,0.2805060429623901,1
single_gate_angle_v4,hybrid_tdvp,rxx,3.141592653589793,2,9,8,1,,1,0.2870981566738514,0.2870981566738514,0.2870981566738514,1
single_gate_angle_v4,hybrid_tdvp,rxx,4.280684318202959,2,9,8,1,,1,0.2690538876381664,0.2690538876381664,0.2690538876381664,1
single_gate_angle_v4,hybrid_tdvp,rxx,4.71238898038469,2,9,8,1,,1,0.24011912269843938,0.24011912269843938,0.24011912269843938,1
single_gate_angle_v4,hybrid_tdvp,rxx,6.283185307179586,2,9,8,1,,1,0.2468380122431778,0.2468380122431778,0.2468380122431778,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.0,2,9,8,1,,1,0.0,0.0,0.0,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.0006283185307179586,2,9,8,1,,1,7.615134134386636e-08,7.615134134386636e-08,7.615134134386636e-08,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.0009222454792211941,2,9,8,1,,1,1.6406312275396573e-07,1.6406312275396573e-07,1.6406312275396573e-07,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.0013536712389686342,2,9,8,1,,1,3.5346333382424433e-07,3.5346333382424433e-07,3.5346333382424433e-07,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.0019869176531592202,2,9,8,1,,1,7.615136872196615e-07,7.615136872196615e-07,7.615136872196615e-07,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.0029163962761324636,2,9,8,1,,1,1.6406308448457807e-06,1.6406308448457807e-06,1.6406308448457807e-06,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.0042806843182029595,2,9,8,1,,1,3.5346264629643187e-06,3.5346264629643187e-06,3.5346264629643187e-06,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.006283185307179587,2,9,8,1,,1,7.615088528312164e-06,7.615088528312164e-06,7.615088528312164e-06,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.009222454792211942,2,9,8,1,,1,1.505338814489221e-05,1.505338814489221e-05,1.505338814489221e-05,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.013536712389686328,2,9,8,1,,1,3.243085810888946e-05,3.243085810888946e-05,3.243085810888946e-05,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.019869176531592203,2,9,8,1,,1,6.986641301609531e-05,6.986641301609531e-05,6.986641301609531e-05,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.029163962761324633,2,9,8,1,,1,0.00015050335078481414,0.00015050335078481414,0.00015050335078481414,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.0428068431820296,2,9,8,1,,1,0.0003241541512548629,0.0003241541512548629,0.0003241541512548629,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.06283185307179587,2,9,8,1,,1,0.0006979051999858044,0.0006979051999858044,0.0006979051999858044,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.09222454792211941,2,9,8,1,,1,0.0015013602299971396,0.0015013602299971396,0.0015013602299971396,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.13536712389686328,2,9,8,1,,1,0.003223846174931433,0.003223846174931433,0.003223846174931433,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.198691765315922,2,9,8,1,,1,0.006893095328695753,0.006893095328695753,0.006893095328695753,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.29163962761324635,2,9,8,1,,1,0.014582003662102272,0.014582003662102272,0.014582003662102272,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.42806843182029597,2,9,8,1,,1,0.029916197638894415,0.029916197638894415,0.029916197638894415,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.6283185307179586,2,9,8,1,,1,0.05669485790272788,0.05669485790272788,0.05669485790272788,1
single_gate_angle_v4,hybrid_tdvp,ryy,0.9222454792211943,2,9,8,1,,1,0.09673731417284392,0.09673731417284392,0.09673731417284392,1
single_gate_angle_v4,hybrid_tdvp,ryy,1.353671238968633,2,9,8,1,,1,0.15075993806179822,0.15075993806179822,0.15075993806179822,1
single_gate_angle_v4,hybrid_tdvp,ryy,1.5707963267948966,2,9,8,1,,1,0.16953932498843105,0.16953932498843105,0.16953932498843105,1
single_gate_angle_v4,hybrid_tdvp,ryy,1.9869176531592203,2,9,8,1,,1,0.19697973357152865,0.19697973357152865,0.19697973357152865,1
single_gate_angle_v4,hybrid_tdvp,ryy,2.9163962761324638,2,9,8,1,,1,0.20029542486025453,0.20029542486025453,0.20029542486025453,1
single_gate_angle_v4,hybrid_tdvp,ryy,3.141592653589793,2,9,8,1,,1,0.19233129129967597,0.19233129129967597,0.19233129129967597,1
single_gate_angle_v4,hybrid_tdvp,ryy,4.280684318202959,2,9,8,1,,1,0.15412835650660273,0.15412835650660273,0.15412835650660273,1
single_gate_angle_v4,hybrid_tdvp,ryy,4.71238898038469,2,9,8,1,,1,0.15072815646419957,0.15072815646419957,0.15072815646419957,1
single_gate_angle_v4,hybrid_tdvp,ryy,6.283185307179586,2,9,8,1,,1,0.16899974703521214,0.16899974703521214,0.16899974703521214,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.0,2,9,8,1,,1,0.0,0.0,0.0,1
single_gate_angle_v4,hybrid_tdvp,rzz,0.0006283185307179586,2,9,8,1,,1,7.39663297277815e-08,7.39663297277815e-08,7.39663297277815e-08,1
