L,k,dt,g,cut,J,n_pasts,n_futures,n_seeds,seed,unitary_ensemble,basis,orientation,weight_scope,probability_power,centered,spectrum_discarded_weight_threshold,entropy,entropy_std,entropy_old_raw_xyz,entropy_old_raw_xyz_std,entropy_old_centered_xyz,entropy_old_centered_xyz_std,entropy_change_vs_raw_xyz,entropy_change_vs_centered_xyz,response_norm,rank,response_shape,probe_file,probe_sha256,raw_file,raw_sha256
6,20,0.1,1.0,1,0.0,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.34801210645517,1,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0.npz,4d6509ec81060cbe2eafd3e087aa8f5f1fca0dd0bf59413f1e15d1b21da98d45
6,20,0.1,1.0,1,0.05,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,4.802426143206942e-11,0.0,9.370890592452084e-11,0.0,3.871506585385106e-10,0.0,-4.5684644492451415e-11,-3.391263971064412e-10,50.344440923846165,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p05.npz,106e90d68f236997af615293d008acab327d7a72fbedefb553e2b1f4de9ddecc
6,20,0.1,1.0,1,0.1,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,6.84745901837647e-10,0.0,1.3337427634443746e-09,0.0,5.506660221317035e-09,0.0,-6.489968616067275e-10,-4.821914319479388e-09,50.323783382170056,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p1.npz,048ae5f3aa9040f5dabcced610054b0d04edf86d47529e6e78fa8a564ed07610
6,20,0.1,1.0,1,0.15000000000000002,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,3.2478827346175527e-09,0.0,6.324883207540998e-09,0.0,2.5765677315047218e-08,0.0,-3.0770004729234456e-09,-2.2517794580429665e-08,50.28487138430048,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p15.npz,ebe11f3798c27a5f2932ed9336a6ab4a90b20a360c96c2ed15a18a945295cb01
6,20,0.1,1.0,1,0.2,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,9.695340640497675e-09,0.0,1.8898313140259387e-08,0.0,7.661124661684713e-08,0.0,-9.202972499761712e-09,-6.691590597634946e-08,50.22585290344341,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p2.npz,9ddc5deb321306f43a92d10ff236997aef9fbeed49b11875d0f6d707a96277c0
6,20,0.1,1.0,1,0.25,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,2.253530360156008e-08,0.0,4.401591524539619e-08,0.0,1.7770454899857682e-07,0.0,-2.148061164383611e-08,-1.5516924539701675e-07,50.144357739525894,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p25.npz,f000d5057661e6f94d28eee654d272099b6e4fbcd79aac52bb3fc33f7a588120
6,20,0.1,1.0,1,0.30000000000000004,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,4.467395227262167e-08,0.0,8.75352397750844e-08,0.0,3.5217573822947406e-07,0.0,-4.286128750246273e-08,-3.075017859568524e-07,50.03772042232662,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p3.npz,3cc7333af615ce349fc27bd0eadc8beb10630857836a9e881fc1226898e0178f
6,20,0.1,1.0,1,0.35000000000000003,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,7.927027505937264e-08,0.0,1.5601041226612896e-07,0.0,6.258110326759248e-07,0.0,-7.674013720675631e-08,-5.465407576165521e-07,49.90324127567478,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p35.npz,f57ff6deda0cea5efeecc580d18881e3e362ac16a738fe42e59a5d69899ee14e
6,20,0.1,1.0,1,0.4,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,1.2955225915287635e-07,0.0,2.5643800001419853e-07,0.0,1.0260726748432022e-06,0.0,-1.2688574086132218e-07,-8.965204156903259e-07,49.73846666717096,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p4.npz,74e589321e97c4a7d0927d55b0a24ca358e55be2a02d515af72471915857a42c
6,20,0.1,1.0,1,0.45,64,64,1,0,haar,IXYZ,future_rows_history_columns,complete_retained_record,1,0,1e-12,1.986044262073287e-07,0.0,3.9595883381781683e-07,0.0,1.5809461243408602e-06,0.0,-1.9735440761048812e-07,-1.3823416981335315e-06,49.54146926580755,64,256x64,raw/probes_cut_01.npz,47ddfaa8077ad999875ab17de4d24eed969f70df1c9b7dd38cfe8fffc902e4f4,raw/cut_01_J_0p45.npz,4266208d2aca0b8dd4d31c95532e8886aaaeaacd2a6c4c8d29e4eb69dc31ef5c
