J,entropy_mean,entropy_std,modes_mean,modes_std,entropy_old_raw_xyz_mean,modes_old_raw_xyz_mean,entropy_old_centered_xyz_mean,modes_old_centered_xyz_mean,resolved_rank_mean,resolved_rank_std,rank_tol,spectrum_discarded_weight_threshold,cut,m_spectrum,basis,orientation,weight_scope,centered,probability_power,raw_file,raw_sha256
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,44.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0.npz,c7f915e60329c22620577a17edadeb65c150640b1632a69ad64d6989775fd4a5
0.05,3.249772391797506e-11,0.0,1.0000000000324978,0.0,6.343347359164202e-11,1.0000000000634335,2.183727295864397e-10,1.0000000002183727,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p05.npz,e6e81938674eb5dada3642dc0d9410f74287bd9d1a82f9a394c8899f667dea82
0.1,4.912405507610229e-10,0.0,1.0000000004912406,0.0,9.570289887178626e-10,1.000000000957029,5.041997732688804e-09,1.0000000050419977,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p1.npz,1d70e2c1149ee5d1481dc822ed3586b981dd6e42160a099a192b8fd0fb54b2fb
0.15,2.189775799245958e-09,0.0,1.0000000021897757,0.0,4.264013023846603e-09,1.0000000042640131,2.100650956215906e-08,1.0000000210065099,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p15.npz,f38012256b4f93480acc2829ca207758623d62e440ed7353a4a4860c16047530
0.2,1.032095426979075e-08,0.0,1.0000000103209543,0.0,2.0103647883830602e-08,1.000000020103648,8.36193728877592e-08,1.0000000836193763,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p2.npz,ea442ad1670b8799ef56261353682166c30ef8e95ec6e3661446718dc6b98a3d
0.25,1.814699503917914e-08,0.0,1.0000000181469952,0.0,3.5411349478216155e-08,1.00000003541135,1.5074711413770118e-07,1.0000001507471254,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p25.npz,10ac4d91daa6544de89889be02533c8067dbc446c89d6a8d9a8e60cabb519115
0.3,4.925108987355225e-08,0.0,1.000000049251091,0.0,9.652533030706692e-08,1.000000096525335,3.462843373948676e-07,1.0000003462843974,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p3.npz,b398efd2aff0c3115d9be7ada0b3e8e18d80637349aefedc11bd68890076a120
0.35,7.194434180206085e-08,0.0,1.0000000719443445,0.0,1.4166053164711163e-07,1.0000001416605417,6.820074818245792e-07,1.0000006820077143,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p35.npz,fefd2c28ed84b427ddbc90daa1d68ad0153b32a81ac5989f366326fbf8de3b54
0.4,7.864547653143753e-08,0.0,1.0000000786454797,0.0,1.5509946419396665e-07,1.0000001550994762,6.677488787956959e-07,1.0000006677491018,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p4.npz,d9d995991751cbadcc54230f4a1ea3c2bf536b3237ae00bcb620da448a988e4c
0.45,1.4732251953209853e-07,0.0,1.0000001473225304,0.0,2.92772691762938e-07,1.0000002927727347,1.1576716628634521e-06,1.0000011576723329,64.0,0.0,1e-16,1e-12,1,64,IXYZ,future_rows_history_columns,complete_retained_record,0,1,raw/cut_01_J_0p45.npz,3420dc70b9a51be4171f5c1f92e3cc48db030ca4c312ad16c55a9d1203721a7d
