cut,J,S_V,S_MPO
1,0,-0,2.0245228107100352e-28
1,0.2,5.4139206420251044e-10,1.964263204658255e-09
1,0.4,7.6176621861822016e-09,2.7446087822843213e-08
1,0.6,3.5208947786776467e-08,1.2549375361055382e-07
1,0.8,1.0235400934162435e-07,3.6165949578346354e-07
1,1,2.3036970601686393e-07,8.0634389777532251e-07
1,1.2,4.3979185929834678e-07,1.5235843796118249e-06
1,1.4,7.4761240200443013e-07,2.5611950310054685e-06
1,1.6,1.1649304489576529e-06,3.9433867394121049e-06
1,1.8,1.6952868480954878e-06,5.6668349080114524e-06
1,2,2.3338800361437819e-06,7.7007508390473992e-06
1,2.2,3.0678112554042451e-06,9.9909209720193816e-06
1,2.4,3.8771048908810069e-06,1.246701547255228e-05
1,2.6,4.7368795359131552e-06,1.5051886225027956e-05
1,2.8,5.6197591139641024e-06,1.7671230729048749e-05
1,3,6.4986160185606615e-06,2.0261998505571687e-05
1,3.2,7.3491154979580716e-06,2.2778268987134203e-05
1,3.4,8.1517604281090975e-06,2.5193934400774458e-05
1,3.6,8.8932048811138235e-06,2.7502202541836193e-05
1,3.8,9.5667300031816029e-06,2.9712507770362025e-05
1,4,1.0171905084553431e-05,3.1845756240902579e-05
1,4.2,1.071356674547253e-05,3.3928899725823078e-05
1,4.4,1.1200324582018219e-05,3.5989686096795233e-05
1,4.6,1.1642837273642712e-05,3.8052177325120951e-05
1,4.8,1.2052102024608067e-05,4.0133361388225399e-05
1,5,1.2437969298170985e-05,4.2240980448353238e-05
1,5.2,1.2808041824829043e-05,4.4372574087756806e-05
1,5.4,1.3167049385879475e-05,4.6515675177824678e-05
1,5.6,1.3516717569880793e-05,4.864906156348146e-05
1,5.8,1.3856080051920275e-05,5.0744926311041388e-05
1,6,1.4182130260698999e-05,5.2771766022365982e-05
2,0,-0,1.0174697920756956e-28
2,0.2,1.2921596543487811e-07,6.4360004654917024e-07
2,0.4,1.7738587974023877e-06,8.5931100284138505e-06
2,0.6,8.0868801651590605e-06,3.7949088717290681e-05
2,0.8,2.3469257787545103e-05,0.00010611933051701941
2,1,5.3100224975208862e-05,0.00023013480772884442
2,1.2,0.00010243508022573093,0.00042350054483193005
2,1.4,0.00017662576358814085,0.00069372808868960114
2,1.6,0.00027987991421258527,0.0010407638393131514
2,1.8,0.0004148183298580492,0.0014564759164547923
2,2,0.0005819204614165729,0.0019252544111305243
2,2.2,0.00077915680622240918,0.0024256382304888545
2,2.4,0.001001892249591985,0.0029327315268989108
2,2.6,0.0012431072015361699,0.0034210459086774169
2,2.8,0.0014939310841221053,0.0038673337718209606
2,3,0.0017444268450147943,0.0042529858003302265
2,3.2,0.0019845185397239936,0.0045656553788936665
2,3.4,0.0022049273885270328,0.0047999252069157641
2,3.6,0.0023979808922377282,0.0049570101676651998
2,3.8,0.0025581841544003543,0.0050436532373126482
2,4,0.0026824863908081723,0.0050704836266603857
2,4.2,0.0027702289576816406,0.0050501516247844526
2,4.4,0.0028228133478307069,0.004995535485593226
2,4.6,0.0028431690730131246,0.0049182495337822254
2,4.8,0.0028351256188361763,0.0048275931236379244
2,5,0.0028027967880027509,0.0047299893416374713
2,5.2,0.0027500706011770559,0.0046288863599953942
2,5.4,0.0026802678682512726,0.0045250414009747131
2,5.6,0.0025959945481338351,0.0044170787574404286
2,5.8,0.0024991751354265469,0.0043022057193526494
2,6,0.0023912238408363103,0.0041769776081158564
3,0,-0,1.7119826799505862e-27
3,0.2,3.4656787746028881e-07,1.4312823570215839e-06
3,0.4,4.6807096444162199e-06,1.8916927552224338e-05
3,0.6,2.0948883829064721e-05,8.2792320579945378e-05
3,0.8,5.9517154470702403e-05,0.0002294567327658579
3,1,0.00013148295442924293,0.00049301759802963081
3,1.2,0.00024712860891257146,0.00089840135600801686
3,1.4,0.00041451796346266538,0.0014562596713651311
3,1.6,0.00063831657905961243,0.0021601102420191081
3,1.8,0.00091894218619152765,0.0029859919161858775
3,2,0.0012521465865458947,0.0038946385592167373
3,2.2,0.0016290980675239121,0.0048358437366144563
3,2.4,0.0020369780006742927,0.0057543604606248074
3,2.6,0.0024600363677182309,0.0065964290826371697
3,2.8,0.0028809826204872473,0.0073159197760826189
3,3,0.0032825359910198639,0.0078791551432424705
3,3.2,0.0036489356280952662,0.0082677391228898247
3,3.4,0.0039672216233705938,0.0084791063145330647
3,3.6,0.0042281406579255639,0.008524930459487514
3,3.8,0.0044265947796409792,0.0084278930873683752
3,4,0.0045616245161208937,0.0082175365195585812
3,4.2,0.0046359836781117722,0.0079259761415560476
3,4.4,0.0046554116763394713,0.0075841392085002199
3,4.6,0.0046277341787811831,0.0072189812908327175
3,4.8,0.004561924243310431,0.0068518723423178149
3,5,0.0044672377560854059,0.0064981039205745409
3,5.2,0.0043525056134746049,0.0061672917729286942
3,5.4,0.0042256277891007952,0.0058643554595484391
3,5.6,0.0040932777977992444,0.0055907481643970251
3,5.8,0.0039607953417421073,0.0053456667287742005
3,6,0.0038322236630320143,0.0051270651677394639
