ell,J,entropy,k,left_cut,right_cut
0,0.5,0.0018713438589164225,22,16,17
0,1.0,0.010158731305692224,22,16,17
0,1.5,0.048306303200605985,22,16,17
0,2.0,0.08611976309501441,22,16,17
1,0.5,0.0022025702562138982,23,16,18
1,1.0,0.008140612420870745,23,16,18
1,1.5,0.042561669566379454,23,16,18
1,2.0,0.07981256266283791,23,16,18
2,0.5,0.002452732225475822,24,16,19
2,1.0,0.006167024348219144,24,16,19
2,1.5,0.03783743046370114,24,16,19
2,2.0,0.07214217822873628,24,16,19
3,0.5,0.002579365779631914,25,16,20
3,1.0,0.004405170773533514,25,16,20
3,1.5,0.03302083183524973,25,16,20
3,2.0,0.061791689796599714,25,16,20
4,0.5,0.0025633235619744394,26,16,21
4,1.0,0.0029744716205837947,26,16,21
4,1.5,0.027252150417179166,26,16,21
4,2.0,0.05154162316350513,26,16,21
5,0.5,0.0024095709718892255,27,16,22
5,1.0,0.0019101432428798254,27,16,22
5,1.5,0.02114262269002137,27,16,22
5,2.0,0.042882767887976646,27,16,22
6,0.5,0.002144675514539369,28,16,23
6,1.0,0.0011770652483975355,28,16,23
6,1.5,0.01655774112424481,28,16,23
6,2.0,0.03425143971257688,28,16,23
7,0.5,0.0018115048318687198,29,16,24
7,1.0,0.0007044510586538857,29,16,24
7,1.5,0.014799831317396487,29,16,24
7,2.0,0.025377346988485625,29,16,24
8,0.5,0.0014618110965189336,30,16,25
8,1.0,0.0004179321494954991,30,16,25
8,1.5,0.015071764345955368,30,16,25
8,2.0,0.018200142616666307,30,16,25
9,0.5,0.0011474023245826497,31,16,26
9,1.0,0.0002585787726528983,31,16,26
9,1.5,0.015264534467228287,31,16,26
9,2.0,0.013393373848856896,31,16,26
10,0.5,0.0009106238452782577,32,16,27
10,1.0,0.00018690685787579663,32,16,27
10,1.5,0.013899062211113207,32,16,27
10,2.0,0.00973322918783817,32,16,27
11,0.5,0.0007753026298838025,33,16,28
11,1.0,0.00017481184132539184,33,16,28
11,1.5,0.011050219883595433,33,16,28
11,2.0,0.006565895835336942,33,16,28
12,0.5,0.0007407266384952314,34,16,29
12,1.0,0.00019527598397929078,34,16,29
12,1.5,0.007832578134644514,34,16,29
12,2.0,0.004457281338673441,34,16,29
13,0.5,0.0007825558083082027,35,16,30
13,1.0,0.0002202280811446492,35,16,30
13,1.5,0.005361353438334785,35,16,30
13,2.0,0.0036583295204811253,35,16,30
14,0.5,0.000861937454366971,36,16,31
14,1.0,0.00022603950748078898,36,16,31
14,1.5,0.00406588364521828,36,16,31
14,2.0,0.003535038278006252,36,16,31
15,0.5,0.0009383969957263617,37,16,32
15,1.0,0.00020267711494188637,37,16,32
15,1.5,0.0036318390820269694,37,16,32
15,2.0,0.0034191698877800423,37,16,32
