L,environment_sites,J,cut,entropy
2,1,0.5,5,0.0008550059679449405
2,1,0.5,10,0.0016821982131528085
2,1,0.5,15,0.001042525430360187
2,1,1.0,5,0.01342182132520393
2,1,1.0,10,0.02086870386782808
2,1,1.0,15,0.015964375403472397
2,1,1.5,5,0.05565902331909858
2,1,1.5,10,0.082615000268691
2,1,1.5,15,0.0712186227641241
2,1,2.0,5,0.11813402730638037
2,1,2.0,10,0.19310764232610123
2,1,2.0,15,0.17783538921921438
3,2,0.5,5,0.0009319789571292995
3,2,0.5,10,0.0018128502193703688
3,2,0.5,15,0.0013721314096406796
3,2,1.0,5,0.011400704443806592
3,2,1.0,10,0.021190366247038708
3,2,1.0,15,0.024046680011792148
3,2,1.5,5,0.03491383167074733
3,2,1.5,10,0.05800967288912467
3,2,1.5,15,0.06697704440118624
3,2,2.0,5,0.06256315876993114
3,2,2.0,10,0.09265283243132791
3,2,2.0,15,0.10523092221021303
4,3,0.5,5,0.0008353030135860111
4,3,0.5,10,0.0016294105578793716
4,3,0.5,15,0.0009799423108061223
4,3,1.0,5,0.00696451872672399
4,3,1.0,10,0.012577386831781397
4,3,1.0,15,0.009273864259950507
4,3,1.5,5,0.02159236312647028
4,3,1.5,10,0.03540210663156891
4,3,1.5,15,0.03572637805375377
4,3,2.0,5,0.041721094937309626
4,3,2.0,10,0.05940633154930755
4,3,2.0,15,0.06627698001600375
5,4,0.5,5,0.0008325945142172386
5,4,0.5,10,0.0016205319356551165
5,4,0.5,15,0.0009675370850904231
5,4,1.0,5,0.006777507458107037
5,4,1.0,10,0.01183006427688733
5,4,1.0,15,0.01038672240765023
5,4,1.5,5,0.023641661479639902
5,4,1.5,10,0.029739398608912584
5,4,1.5,15,0.03534471572438281
5,4,2.0,5,0.0414047694508369
5,4,2.0,10,0.04450921566198326
5,4,2.0,15,0.04669295091503752
6,5,0.5,5,0.0008325801923731052
6,5,0.5,10,0.001620453160457579
6,5,0.5,15,0.0009676330067921711
6,5,1.0,5,0.006773038721674572
6,5,1.0,10,0.011824376962859814
6,5,1.0,15,0.010854139696959293
6,5,1.5,5,0.023820850870760676
6,5,1.5,10,0.029914289069372896
6,5,1.5,15,0.0422033226713115
6,5,2.0,5,0.04208287441234492
6,5,2.0,10,0.04166716747652199
6,5,2.0,15,0.04701946317353053
7,6,0.5,5,0.0008325801242215384
7,6,0.5,10,0.0016204528455934738
7,6,0.5,15,0.000967635455597532
7,6,1.0,5,0.006772953637656778
7,6,1.0,10,0.011824330476920317
7,6,1.0,15,0.010872154241547744
7,6,1.5,5,0.02381619989449039
7,6,1.5,10,0.0299057587513869
7,6,1.5,15,0.04294298856943996
7,6,2.0,5,0.042083846691107464
7,6,2.0,10,0.04130726964140362
7,6,2.0,15,0.04803997989330685
8,7,0.5,5,0.0008325801201743768
8,7,0.5,10,0.0016204528541432413
8,7,0.5,15,0.0009676354633255547
8,7,1.0,5,0.006772951941080037
8,7,1.0,10,0.01182432847118933
8,7,1.0,15,0.010872413686283841
8,7,1.5,5,0.02381565513494546
8,7,1.5,10,0.02990497426550381
8,7,1.5,15,0.04296926727367795
8,7,2.0,5,0.04207832654914397
8,7,2.0,10,0.0412836196422203
8,7,2.0,15,0.04815283548753568
9,8,0.5,5,0.0008325801179531325
9,8,0.5,10,0.0016204528541432408
9,8,0.5,15,0.0009676354633255563
9,8,1.0,5,0.006772951844579685
9,8,1.0,10,0.01182432841098106
9,8,1.0,15,0.010872415493676893
9,8,1.5,5,0.023815638507757527
9,8,1.5,10,0.029904955723681032
9,8,1.5,15,0.04296970128098735
9,8,2.0,5,0.04207794292477446
9,8,2.0,10,0.04128285508427556
9,8,2.0,15,0.048157365905390694
10,9,0.5,5,0.0008325801179531322
10,9,0.5,10,0.0016204528541432413
10,9,0.5,15,0.0009676354633255559
10,9,1.0,5,0.006772951877447326
10,9,1.0,10,0.011824328356928742
10,9,1.0,15,0.010872415387588633
10,9,1.5,5,0.023815638531308473
10,9,1.5,10,0.029904955928841997
10,9,1.5,15,0.04296970592638533
10,9,2.0,5,0.04207793245138902
10,9,2.0,10,0.04128284146867185
10,9,2.0,15,0.04815745588527186
