cut,J,m,probe_draw,entropy
10,0.0,4,0,-0.0
10,0.0,8,0,-0.0
10,0.0,16,0,-0.0
10,0.0,32,0,-0.0
10,0.0,64,0,-0.0
10,0.0,4,1,-0.0
10,0.0,8,1,-0.0
10,0.0,16,1,-0.0
10,0.0,32,1,-0.0
10,0.0,64,1,-0.0
10,0.0,4,2,-0.0
10,0.0,8,2,-0.0
10,0.0,16,2,-0.0
10,0.0,32,2,-0.0
10,0.0,64,2,-0.0
10,0.0,4,3,-0.0
10,0.0,8,3,-0.0
10,0.0,16,3,-0.0
10,0.0,32,3,-0.0
10,0.0,64,3,-0.0
10,0.0,4,4,-0.0
10,0.0,8,4,-0.0
10,0.0,16,4,-0.0
10,0.0,32,4,-0.0
10,0.0,64,4,-0.0
10,0.2,4,0,2.1811399984237536e-05
10,0.2,8,0,2.063031404156974e-05
10,0.2,16,0,3.5913454899964675e-05
10,0.2,32,0,2.9346980195941873e-05
10,0.2,64,0,4.182356395488404e-05
10,0.2,4,1,6.23530358616633e-05
10,0.2,8,1,2.603072979860289e-05
10,0.2,16,1,2.3819331516827712e-05
10,0.2,32,1,5.8941869279790914e-05
10,0.2,64,1,5.532973656250682e-05
10,0.2,4,2,6.0677944049379084e-05
10,0.2,8,2,9.09762080073157e-05
10,0.2,16,2,9.790157237055041e-05
10,0.2,32,2,6.292649476140589e-05
10,0.2,64,2,5.536914128304425e-05
10,0.2,4,3,8.891499567105012e-05
10,0.2,8,3,4.802121417274195e-05
10,0.2,16,3,3.298651323515609e-05
10,0.2,32,3,3.399939548939452e-05
10,0.2,64,3,4.1472163187848805e-05
10,0.2,4,4,7.981847741584694e-05
10,0.2,8,4,4.921230463631804e-05
10,0.2,16,4,4.148737166594848e-05
10,0.2,32,4,5.2329425597903694e-05
10,0.2,64,4,5.435912993293195e-05
10,0.4,4,0,0.0008516780619644813
10,0.4,8,0,0.0006155119102544868
10,0.4,16,0,0.0007292715790786099
10,0.4,32,0,0.0007482218352056964
10,0.4,64,0,0.0006447752341635511
10,0.4,4,1,0.00020051172226481694
10,0.4,8,1,0.0005283744432256272
10,0.4,16,1,0.0004259404432025643
10,0.4,32,1,0.0005873219164853022
10,0.4,64,1,0.0005936951807696012
10,0.4,4,2,0.0003259760625193564
10,0.4,8,2,0.0006192659942579415
10,0.4,16,2,0.0005086361704454909
10,0.4,32,2,0.0012082582401444371
10,0.4,64,2,0.0009232208410991787
10,0.4,4,3,0.001101164896502706
10,0.4,8,3,0.0005719794686030717
10,0.4,16,3,0.0004912191457447019
10,0.4,32,3,0.0005900958957471027
10,0.4,64,3,0.00077157622787817
10,0.4,4,4,0.00017742473047806237
10,0.4,8,4,0.0003935056496744175
10,0.4,16,4,0.000620196159351431
10,0.4,32,4,0.0006070664192842366
10,0.4,64,4,0.0005792277130113522
10,0.6,4,0,0.004434725598430898
10,0.6,8,0,0.002149963675628196
10,0.6,16,0,0.0028014299026339123
10,0.6,32,0,0.0026024002110720265
10,0.6,64,0,0.003357024567927893
10,0.6,4,1,0.002470285238227534
10,0.6,8,1,0.002800042005726195
10,0.6,16,1,0.004237967937469923
10,0.6,32,1,0.0036163416396614314
10,0.6,64,1,0.002562897208603031
10,0.6,4,2,0.000680423305018898
10,0.6,8,2,0.0008834768617482896
10,0.6,16,2,0.0009864467255802512
10,0.6,32,2,0.002550422097738157
10,0.6,64,2,0.0025623402727296117
10,0.6,4,3,0.0017696971517084231
10,0.6,8,3,0.003623768596294794
10,0.6,16,3,0.002879747183982509
10,0.6,32,3,0.0019883718745437855
10,0.6,64,3,0.002877501241170332
10,0.6,4,4,0.00032654329839492215
10,0.6,8,4,0.001944346798594023
10,0.6,16,4,0.002660897619540564
10,0.6,32,4,0.002234224192597044
10,0.6,64,4,0.0022890269230745686
10,0.8,4,0,0.005708478579185608
10,0.8,8,0,0.004639836783810106
10,0.8,16,0,0.009841750889579502
10,0.8,32,0,0.00788886745463704
10,0.8,64,0,0.006082214012202769
10,0.8,4,1,0.00678251909031923
10,0.8,8,1,0.0035930090981647327
10,0.8,16,1,0.002899067918321553
10,0.8,32,1,0.004101634989437246
10,0.8,64,1,0.005687370669324267
10,0.8,4,2,0.021233002858389742
10,0.8,8,2,0.003975573198775397
10,0.8,16,2,0.0069802073770786855
10,0.8,32,2,0.0064395809617600105
10,0.8,64,2,0.006012484216481509
10,0.8,4,3,0.00506010445443616
10,0.8,8,3,0.0071785697954630445
10,0.8,16,3,0.008060673955744068
10,0.8,32,3,0.008911125826316667
10,0.8,64,3,0.008576280433913955
10,0.8,4,4,0.011233265041070525
10,0.8,8,4,0.005766269769032531
10,0.8,16,4,0.006326069137103947
10,0.8,32,4,0.004312913347408911
10,0.8,64,4,0.004950185109689406
10,1.0,4,0,0.008693816055766574
10,1.0,8,0,0.012501541695043795
10,1.0,16,0,0.009199312502979708
