cut,J,m,entropy_mean,entropy_std,entropy_sem
10,0.0,4,0.0,0.0,0.0
10,0.2,4,6.27151705964354e-05,2.5769913765691964e-05,1.1524655790878964e-05
10,0.4,4,0.0005313510947458846,0.0004195815177559599,0.00018764255916097226
10,0.6,4,0.001936334918356135,0.0016373431314068863,0.0007322421088636337
10,0.8,4,0.010003474004680251,0.006724454309554171,0.0030072673895509077
10,1.0,4,0.00980962446335542,0.0070398141191326076,0.0031483005838686623
10,1.2,4,0.011720945846166925,0.0049196708421835175,0.002200143686009197
10,1.4,4,0.040138064582217345,0.06421163324085954,0.028716315374569413
10,1.6,4,0.052091499297926516,0.02049762897666263,0.009166818353877417
10,1.8,4,0.058949509150270654,0.033695184741954244,0.01506894471948468
10,2.0,4,0.03633074752732097,0.025102789314716507,0.011226308666512294
10,0.0,8,0.0,0.0,0.0
10,0.2,8,4.6974154131309666e-05,2.7725941513201915e-05,1.2399417992740573e-05
10,0.4,8,0.000545727493203109,9.278949321419276e-05,4.149672288493809e-05
10,0.6,8,0.0022803195875982993,0.0010193143051053064,0.00045585121533068515
10,0.8,8,0.005030651729049163,0.0014566596446475824,0.0006514379971025363
10,1.0,8,0.008285430133290046,0.003266994215614231,0.001461044229642405
10,1.2,8,0.016578993224623185,0.006563867757461989,0.002935450900200822
10,1.4,8,0.042824390880604926,0.040449450328990534,0.018089544117624812
10,1.6,8,0.05724635590412924,0.030490615059445347,0.013635817589739717
10,1.8,8,0.06395986468725665,0.03721234495336288,0.01664186658357813
10,2.0,8,0.05982815171267206,0.023823184857215376,0.01065405215625544
10,0.0,16,0.0,0.0,0.0
10,0.2,16,4.642164873768947e-05,2.94801601713805e-05,1.318392842615773e-05
10,0.4,16,0.0005550526995645596,0.00011989065835559764,5.361673239006389e-05
10,0.6,16,0.002713297873841432,0.0011559468094566657,0.0005169551288638203
10,0.8,16,0.006821553855565552,0.0025648382366597468,0.0011470305296923773
10,1.0,16,0.01132886602090399,0.002772795217656965,0.0012400317188734598
10,1.2,16,0.024134600669950153,0.004526427477716677,0.002024279907079481
10,1.4,16,0.05203719898612617,0.019508406244618567,0.0087244244991297
10,1.6,16,0.0598788136157679,0.02566198421309829,0.011476388227602845
10,1.8,16,0.06545024492872863,0.013466585797930952,0.006022440253801371
10,2.0,16,0.09062064696765507,0.03905231140285211,0.017464724595053497
10,0.0,32,0.0,0.0,0.0
10,0.2,32,4.7508833064887384e-05,1.5033417150537706e-05,6.7231485365427e-06
10,0.4,32,0.0007481928613733551,0.0002657305673466072,0.00011883832245731991
10,0.6,32,0.0025983520031224888,0.00062114438409628,0.00027778421333630424
10,0.8,32,0.006330824515911974,0.002129467776512169,0.000952326940835308
10,1.0,32,0.01132516981069626,0.0014835125137969373,0.0006634469652643093
10,1.2,32,0.024926928888561063,0.00277012232174688,0.0012388363634831135
10,1.4,32,0.05332796439558344,0.014153189666739055,0.006329498838655224
10,1.6,32,0.058941309496756154,0.013202644310653733,0.005904402032274519
10,1.8,32,0.07187874114227968,0.007266937233039235,0.003249873128259992
10,2.0,32,0.09176689285670403,0.0147028475617879,0.006575313322194957
10,0.0,64,0.0,0.0,0.0
10,0.2,64,4.9670746984243175e-05,7.336072741389345e-06,3.2807914675259618e-06
10,0.4,64,0.0007024990393843706,0.0001447894237909282,6.475179880390814e-05
10,0.6,64,0.002729758042701087,0.0004078622665279909,0.00018240155068274496
10,0.8,64,0.0062617068883223815,0.0013694462200987665,0.0006124349679341961
10,1.0,64,0.012858848767051984,0.002186667015858063,0.0009779072183230479
10,1.2,64,0.02715238701334215,0.004950454277823494,0.0022139104569435923
10,1.4,64,0.04732211790176888,0.008216100275930645,0.00367435174538714
10,1.6,64,0.0640259997276571,0.009582381316753562,0.004285371202116982
10,1.8,64,0.07419466665256857,0.011305544744373583,0.005055993314216962
10,2.0,64,0.09107367982310806,0.012668159062744936,0.00566537296281554
